Question ID,Value,Label
A1a,1,Very satisfied
A1a,2,Moderately satisfied
A1a,3,Mildly satisfied
A1a,4,Neither satisfied nor dissatisfied
A1a,5,Mildly dissatisfied
A1a,6,Moderately dissatisfied
A1a,7,Very dissatisfied
A1b,1,Very satisfied
A1b,2,Moderately satisfied
A1b,3,Mildly satisfied
A1b,4,Neither satisfied nor dissatisfied
A1b,5,Mildly dissatisfied
A1b,6,Moderately dissatisfied
A1b,7,Very dissatisfied
A2a,1,Strongly agree
A2a,2,Moderately agree
A2a,3,Mildly agree
A2a,4,Neither agree nor disagree
A2a,5,Mildly disagree
A2a,6,Moderately disagree
A2a,7,Strongly disagree
A2a,8,Do not know or does not apply
A2b,1,Strongly agree
A2b,2,Moderately agree
A2b,3,Mildly agree
A2b,4,Neither agree nor disagree
A2b,5,Mildly disagree
A2b,6,Moderately disagree
A2b,7,Strongly disagree
A2b,8,Do not know or does not apply
A2c,1,Strongly agree
A2c,2,Moderately agree
A2c,3,Mildly agree
A2c,4,Neither agree nor disagree
A2c,5,Mildly disagree
A2c,6,Moderately disagree
A2c,7,Strongly disagree
A2c,8,Do not know or does not apply
A2d,1,Strongly agree
A2d,2,Moderately agree
A2d,3,Mildly agree
A2d,4,Neither agree nor disagree
A2d,5,Mildly disagree
A2d,6,Moderately disagree
A2d,7,Strongly disagree
A2d,8,Do not know or does not apply
A2e,1,Strongly agree
A2e,2,Moderately agree
A2e,3,Mildly agree
A2e,4,Neither agree nor disagree
A2e,5,Mildly disagree
A2e,6,Moderately disagree
A2e,7,Strongly disagree
A2e,8,Do not know or does not apply
A2f,1,Strongly agree
A2f,2,Moderately agree
A2f,3,Mildly agree
A2f,4,Neither agree nor disagree
A2f,5,Mildly disagree
A2f,6,Moderately disagree
A2f,7,Strongly disagree
A2f,8,Do not know or does not apply
A2g,1,Strongly agree
A2g,2,Moderately agree
A2g,3,Mildly agree
A2g,4,Neither agree nor disagree
A2g,5,Mildly disagree
A2g,6,Moderately disagree
A2g,7,Strongly disagree
A2g,8,Do not know or does not apply
A2h,1,Strongly agree
A2h,2,Moderately agree
A2h,3,Mildly agree
A2h,4,Neither agree nor disagree
A2h,5,Mildly disagree
A2h,6,Moderately disagree
A2h,7,Strongly disagree
A2h,8,Do not know or does not apply
A3a,1,Strongly agree
A3a,2,Moderately agree
A3a,3,Mildly agree
A3a,4,Neither agree nor disagree
A3a,5,Mildly disagree
A3a,6,Moderately disagree
A3a,7,Strongly disagree
A3a,8,Do not know or does not apply
A3b,1,Strongly agree
A3b,2,Moderately agree
A3b,3,Mildly agree
A3b,4,Neither agree nor disagree
A3b,5,Mildly disagree
A3b,6,Moderately disagree
A3b,7,Strongly disagree
A3b,8,Do not know or does not apply
A3c,1,Strongly agree
A3c,2,Moderately agree
A3c,3,Mildly agree
A3c,4,Neither agree nor disagree
A3c,5,Mildly disagree
A3c,6,Moderately disagree
A3c,7,Strongly disagree
A3c,8,Do not know or does not apply
A3d,1,Strongly agree
A3d,2,Moderately agree
A3d,3,Mildly agree
A3d,4,Neither agree nor disagree
A3d,5,Mildly disagree
A3d,6,Moderately disagree
A3d,7,Strongly disagree
A3d,8,Do not know or does not apply
A3e,1,Strongly agree
A3e,2,Moderately agree
A3e,3,Mildly agree
A3e,4,Neither agree nor disagree
A3e,5,Mildly disagree
A3e,6,Moderately disagree
A3e,7,Strongly disagree
A3e,8,Do not know or does not apply
A3f,1,Strongly agree
A3f,2,Moderately agree
A3f,3,Mildly agree
A3f,4,Neither agree nor disagree
A3f,5,Mildly disagree
A3f,6,Moderately disagree
A3f,7,Strongly disagree
A3f,8,Do not know or does not apply
A3g,1,Strongly agree
A3g,2,Moderately agree
A3g,3,Mildly agree
A3g,4,Neither agree nor disagree
A3g,5,Mildly disagree
A3g,6,Moderately disagree
A3g,7,Strongly disagree
A3g,8,Do not know or does not apply
A3h,1,Strongly agree
A3h,2,Moderately agree
A3h,3,Mildly agree
A3h,4,Neither agree nor disagree
A3h,5,Mildly disagree
A3h,6,Moderately disagree
A3h,7,Strongly disagree
A3h,8,Do not know or does not apply
A3i,1,Strongly agree
A3i,2,Moderately agree
A3i,3,Mildly agree
A3i,4,Neither agree nor disagree
A3i,5,Mildly disagree
A3i,6,Moderately disagree
A3i,7,Strongly disagree
A3i,8,Do not know or does not apply
A3j,1,Strongly agree
A3j,2,Moderately agree
A3j,3,Mildly agree
A3j,4,Neither agree nor disagree
A3j,5,Mildly disagree
A3j,6,Moderately disagree
A3j,7,Strongly disagree
A3j,8,Do not know or does not apply
A3k,1,Strongly agree
A3k,2,Moderately agree
A3k,3,Mildly agree
A3k,4,Neither agree nor disagree
A3k,5,Mildly disagree
A3k,6,Moderately disagree
A3k,7,Strongly disagree
A3k,8,Do not know or does not apply
A3l,1,Strongly agree
A3l,2,Moderately agree
A3l,3,Mildly agree
A3l,4,Neither agree nor disagree
A3l,5,Mildly disagree
A3l,6,Moderately disagree
A3l,7,Strongly disagree
A3l,8,Do not know or does not apply
A3m,1,Strongly agree
A3m,2,Moderately agree
A3m,3,Mildly agree
A3m,4,Neither agree nor disagree
A3m,5,Mildly disagree
A3m,6,Moderately disagree
A3m,7,Strongly disagree
A3m,8,Do not know or does not apply
A4,1,The next 12 months
A4,2,1 to 2 years
A4,3,No plans to leave my agency within the next 2 years
A4ai,1,Indicated
A4aii,1,Indicated
A4aiii,1,Indicated
A4aiv,1,Indicated
A4av,1,Indicated
A4avi,1,Indicated
A4avii,1,Indicated
B1a,1,Strongly agree
B1a,2,Moderately agree
B1a,3,Mildly agree
B1a,4,Neither agree nor disagree
B1a,5,Mildly disagree
B1a,6,Moderately disagree
B1a,7,Strongly disagree
B1a,8,Do not know or does not apply
B1b,1,Strongly agree
B1b,2,Moderately agree
B1b,3,Mildly agree
B1b,4,Neither agree nor disagree
B1b,5,Mildly disagree
B1b,6,Moderately disagree
B1b,7,Strongly disagree
B1b,8,Do not know or does not apply
B2a,1,Strongly agree
B2a,2,Moderately agree
B2a,3,Mildly agree
B2a,4,Neither agree nor disagree
B2a,5,Mildly disagree
B2a,6,Moderately disagree
B2a,7,Strongly disagree
B2a,8,Do not know or does not apply
B2b,1,Strongly agree
B2b,2,Moderately agree
B2b,3,Mildly agree
B2b,4,Neither agree nor disagree
B2b,5,Mildly disagree
B2b,6,Moderately disagree
B2b,7,Strongly disagree
B2b,8,Do not know or does not apply
B2c,1,Strongly agree
B2c,2,Moderately agree
B2c,3,Mildly agree
B2c,4,Neither agree nor disagree
B2c,5,Mildly disagree
B2c,6,Moderately disagree
B2c,7,Strongly disagree
B2c,8,Do not know or does not apply
B2d,1,Strongly agree
B2d,2,Moderately agree
B2d,3,Mildly agree
B2d,4,Neither agree nor disagree
B2d,5,Mildly disagree
B2d,6,Moderately disagree
B2d,7,Strongly disagree
B2d,8,Do not know or does not apply
B3a,1,Strongly agree
B3a,2,Moderately agree
B3a,3,Mildly agree
B3a,4,Neither agree nor disagree
B3a,5,Mildly disagree
B3a,6,Moderately disagree
B3a,7,Strongly disagree
B3a,8,Do not know or does not apply
B3b,1,Strongly agree
B3b,2,Moderately agree
B3b,3,Mildly agree
B3b,4,Neither agree nor disagree
